trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.5406408953093166}",25,0,-59.17804074041723,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,3,-42.51269694686749,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.5352614285189903}",25,13,-70.6316205496451,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-29.267367573519678,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.5299354883175685}",25,0,-50.28111863130426,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,-36.56758410943856,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.5246625421065929}",20,11,-13.105102570642687,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-42.02168430223905,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.5194420625870482}",25,16,-32.559932777476746,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-47.31883424974802,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.5142735277066319}",25,0,-57.855317179395065,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,10,-67.74812191440495,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
135,False,"{'a': 0.5, 'e': 0.5091564206075492}",20,14,-1.7381672169102031,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,8,0.3323786775199591,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.5040902295748255}",20,8,-1.360539413979612,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,11,-21.864384128894713,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.49907444798513595}",35,15,-20.436862153071957,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,0,-76.54501757771789,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.4941085742561417}",20,0,-12.923149096504988,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,15,8.953254319486986,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.48919211179633154}",20,12,15.752189992490218,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,13,11.21639195893465,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.48432456895536247}",25,16,-33.324510731640984,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,-21.46650720976215,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.4795054589748941}",25,13,0.27330439792708816,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,9,-44.837880524947494,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.4747342999399124}",20,11,4.059517618318358,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,11,-62.59546574950191,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.47001061473053796}",30,10,-10.445271040257182,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-51.3671321915613,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.4653339309743134}",20,13,-9.749612122423224,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.46301306831122807}",30,18,-7.904622537082336,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.4607037809989658}",20,0,-67.44348127464283,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,11,9.476813538707635,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.4561197017856392}",20,1,-9.124838734727447,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,11,-0.6313312505447084,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.4515812349225922}",20,4,15.989017060915467,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,1,-11.051241036565663,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.4470879265593564}",20,13,-7.431571716763972,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,10,-5.406650904172237,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.4426393273613511}",25,0,-121.66188993688144,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
164,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,0,-124.11717208484512,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
165,False,"{'a': 0.5, 'e': 0.4382349924649492}",20,0,-43.37444622519123,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
